identifier_value,name,total_score,Clinical_trials_score,Digital_activator_score,Publications_score,Sponsorship_score,Societies_score
FR0001149,Eric Hachulla,100,99.79025438,8.955223881,100,0.535210959,100
FR0000418,Zahir Amoura,88.91364284,26.71655816,78.17164179,76.18882316,0.582370941,93.33333333
FR0004638,Laure Gossec,82.47708569,26.32223639,86.38059701,44.38771328,31.32848573,66.66666667
FR0000508,Laurent Arnaud,81.74909218,15.28626082,99.62686567,37.71352532,20.20750392,80
FR0001919,Benjamin Terrier,81.43564965,40.26948117,99.81343284,65.11515783,0,46.66666667
FR0004480,Jean Sibilia,80.26730959,37.7441439,81.34328358,65.30222602,37.19496814,26.66666667
FR0003319,Xavier Mariette,77.75747201,43.8888516,88.05970149,74.05537797,1.151580956,33.33333333
FR0001772,Christophe Richez,77.08738569,63.69051614,97.57462687,33.99000053,9.827920903,33.33333333
FR0002717,Marie Beylot Barry,76.02292332,61.64339889,77.05223881,47.82726085,1.934656006,46.66666667
FR0004156,Luc Mouthon,71.35246959,46.33868045,75,72.67406261,0,26.66666667
FR0003520,Laurent Chiche,70.50086514,13.71232969,82.2761194,52.67030196,22.72014389,46.66666667
FR0003962,Odile Launay,68.45982822,100,37.12686567,38.8156848,9.123811404,26.66666667
FR0003893,Celeste Lebbe,66.06241754,80.3208269,58.02238806,52.70887272,13.26621261,0
FR0003651,Nassim Kamar,64.28144959,34.28585811,90.1119403,64.02505171,10.38726022,0
FR0003595,Sophie Georgin Lavialle,63.03655276,14.49929525,98.50746269,35.28646022,0,46.66666667
FR0001206,Pascal Joly,60.49293374,32.78072354,0,63.34765273,17.63125281,73.33333333
FR0001690,Carle Paul,58.3215576,59.20363783,77.42537313,23.23261544,20.51568892,0
FR0003109,Olivier Chosidow,58.16690842,37.27263575,0,62.62637951,0,80
FR0003963,David Launay,58.02923111,25.37250822,90.48507463,50.28228975,0,13.33333333
FR0001776,Lionel Rostaing,57.26253514,38.22404188,63.99253731,54.85774621,20.02763794,0
FR0000739,Bernard Combe,57.07828492,10.0862474,39.55223881,32.47802672,14.41560008,80
FR0002959,Fabrice Bonnet,57.03521808,48.70796698,62.31343284,64.94978569,0.427730069,0
FR0000351,Francois Chasset,56.8627768,4.807369622,91.60447761,25.99428188,0.126125533,53.33333333
FR0003565,Cecile Goujard,56.84145248,39.0949057,65.48507463,31.21965566,0,40
FR0004415,Jeremie Sellam,56.27230072,34.59795959,97.94776119,33.22967441,8.26396429,0
FR0002190,Antoine Bertolotti,56.00992974,5.752063897,68.09701493,6.045484569,0,93.33333333
FR0003696,Laurence Bouillet,55.70999513,65.11343043,45.14925373,36.21890835,12.48533105,13.33333333
FR0000268,Gilbert Deray,55.25198291,7.094435868,100,38.48301199,25.3062657,0
FR0001822,Julien Seneschal,53.9506785,55.02214914,66.97761194,24.6418946,20.21737461,0
FR0004633,Bruno Vellas,53.86725774,32.93509632,91.23134328,42.4345864,0,0
FR0003790,Sebastien Czernichow,53.84601386,69.54157997,71.08208955,22.93947766,2.972175611,0
FR0004652,Daniel Wendling,52.8747966,30.10436942,64.55223881,64.87071563,4.004211496,0
FR0003283,Laurent Misery,52.13196488,71.73635814,0,59.40089966,30.09684247,0
FR0004107,Olivier Moranne,51.88456272,42.79649641,92.91044776,23.29673932,1.465249674,0
FR0003541,Bertrand Godeau,50.92352351,7.248808645,76.86567164,44.54392486,2.17155266,26.66666667
FR0003249,Alexis Mathian,50.85032534,9.378146184,81.71641791,37.14991008,2.359095844,26.66666667
FR0003726,Saskia Oro,50.53067256,16.16048057,27.42537313,39.36242533,0,73.33333333
FR0000040,Renaud Felten,50.25107409,2.916303108,95.70895522,17.07961487,39.71199509,0
FR0004604,Jean Francois Viallard,49.20864963,57.37968991,37.5,43.97982749,0,13.33333333
FR0004298,Xavier Puechal,49.12123134,25.61077925,74.44029851,51.87140508,0,0
FR0001931,Thierry Thomas,48.57753342,50.75508423,56.90298507,21.22838229,1.354478553,20
FR0003392,Rene Marc Flipo,48.53422032,17.10014095,77.23880597,30.73462835,11.70006251,13.33333333
FR0000659,Patrice Cacoub,48.45418334,36.48567018,0,86.62944588,13.41098279,13.33333333
FR0004399,Christian Roux,48.24010939,51.45815155,82.08955224,0.067980965,2.248324724,13.33333333
FR0003017,Stephane Burtey,48.11967737,23.64588227,99.06716418,24.3164538,1.795369548,0
FR0001181,Bertrand Knebelmann,48.10854734,33.7354856,92.1641791,22.89078207,0,0
FR0003956,Veronique Loustaud Ratti,48.04874755,53.12940466,54.85074627,13.94815126,26.67719541,0
FR0000901,Nicolas Dupin,47.49871303,9.378146184,16.23134328,34.16646176,0.461729126,86.66666667
FR0000422,Alexandre Hertig,47.22748108,10.87824686,98.32089552,36.80711245,0.059224163,0
FR0000569,Olivier Benveniste,47.09780984,15.12685415,78.54477612,32.94762573,5.711841542,13.33333333
FR0002799,Jerome Avouac,46.94491896,24.82549164,84.51492537,25.16886761,10.6822843,0
FR0001128,Noemie Jourde Chiche,46.72252735,23.09047587,81.52985075,39.84504197,0.038386032,0
FR0003754,Divi Cornec,45.89446991,34.60131552,81.90298507,25.2344379,0.203994341,0
FR0001168,Thierry Hannedouche,45.36586037,14.34660044,57.8358209,25.95233618,42.1730881,0
FR0004332,Francois Rannou,44.5520636,21.90247668,83.58208955,17.32791414,1.645115652,13.33333333
FR0002951,Maxime Breban,44.50167787,32.63138466,74.06716418,16.57578431,14.36076289,0
FR0000892,Brigitte Dreno,44.38385056,50.04194912,0,64.16969206,23.05903772,0
FR0002365,Olivier Aubert,44.27475655,10.48224713,96.08208955,8.050199845,22.31873567,0
FR0004444,Thierry Schaeverbeke,44.27000526,31.0490637,68.28358209,35.73243463,1.853496968,0
FR0000956,Dominique Farge Bancel,43.8782836,40.28626082,70.3358209,25.08497621,0,0
FR0003142,Stephane Dalle,43.82367974,77.57064232,29.47761194,26.30959785,2.18032661,0
FR0001940,Olivier Thaunat,43.71340842,17.72937781,94.02985075,22.67237514,0.76552715,0
FR0002887,Sebastien Barbarot,43.23964959,63.46231291,0,39.62084942,17.31539061,13.33333333
FR0000762,Bernard Cortet,43.03855593,16.0010739,74.25373134,26.92383721,15.93129997,0
FR0000835,Frederic Liote,42.87034559,12.2172629,85.26119403,33.13710459,1.974138782,0
FR0000447,Florence Ader,42.08733903,39.8852272,78.91791045,11.36487457,0,0
FR0003269,Juliette Mazereeuw Hautier,41.95546363,30.57755554,8.955223881,26.03670972,4.190657937,60
FR0002274,Joris Galland,41.7717747,6.622927713,92.35074627,10.21835872,0,20
FR0002732,Yannick Allanore,41.64351557,45.08356266,34.70149254,45.57858551,3.431711249,0
FR0001801,Pierre Marie Roy,41.53519787,66.76622592,58.76865672,2.140195072,0.785268538,0
FR0000943,Olivier Fain,41.4518234,43.0314115,8.955223881,73.88855943,2.327290275,0
FR0000388,Khalil El Karoui,41.43886522,11.8246191,93.47014925,22.86763961,0,0
FR0004418,Adeline Ruyssen Witrand,41.23278785,42.63373381,56.52985075,15.02813255,0,13.33333333
FR0001908,Luc Thomas,41.14909967,21.12893483,73.32089552,19.48305538,0,13.33333333
FR0003184,Philippe Dieude,41.13343667,21.91254447,93.65671642,0,11.64851556,0
FR0000654,Karine Briot,40.71849417,20.49130814,85.44776119,19.0390095,0.956360565,0
FR0004121,Bruno Moulin,40.68220552,27.90120142,54.29104478,33.43024237,10.19971704,0
FR0001829,Raphaele Seror,40.65561661,36.80783945,41.79104478,33.80775369,0,13.33333333
FR0002354,Thomas Robert,40.51108445,9.693603598,96.26865672,19.33070088,0,0
FR0000763,Valerie Devauchelle Pensec,40.40101579,21.90583261,51.11940299,29.72021735,8.873753825,13.33333333
FR0004105,Philippe Morlat,39.96565431,26.64608363,96.82835821,0,0.131609252,0
FR0000864,Olivier Lortholary,39.88440069,27.49681187,24.25373134,71.60420614,0,0
FR0003763,Nathalie Costedoat Chalumeau,39.85063059,18.59856366,77.98507463,0,0,26.66666667
FR0000473,Herve Bachelez,39.62755671,13.71736358,72.76119403,30.63868358,5.443139319,0
FR0001839,Barbara Seitz Polski,39.60106095,24.7415934,90.67164179,7.065199049,0,0
FR0004313,Gregory Pugnet,39.58029333,38.86166857,61.19402985,22.35850558,0,0
FR0001469,Ziad Massy,39.29643192,10.40506074,55.41044776,55.72076698,0,0
FR0000740,Christian Combe,39.29250119,22.31022216,98.13432836,0.220817604,0.85875037,0
FR0004920,Matthieu Mahevas,39.109548,10.40002685,85.82089552,24.73735723,0,0
FR0004380,Patrick Rossignol,38.99524364,45.06846097,38.43283582,36.21071206,0.892749427,0
FR0002677,Khaled Ezzedine,38.79394527,6.460165112,55.59701493,31.13769279,0.120641814,26.66666667
FR0003288,Thierry Martin,38.76353675,23.49486543,88.99253731,3.772702509,3.628028384,0
FR0003429,Jacques Eric Gottenberg,38.59418207,17.02295456,0,43.03146892,12.64326215,46.66666667
FR0001841,Eric Senbel,38.31243822,3.387811263,88.24626866,3.531153121,23.32773994,0
FR0004857,Yann Nguyen,38.31033687,7.879723471,92.53731343,18.06943701,0,0
FR0000158,Nihal Martis,38.29219101,16.47761595,88.61940299,0,0,13.33333333
FR0003715,Philippe Humbert,38.12296533,4.569098597,97.76119403,15.42203644,0.154640871,0
FR0002940,Philippe Brunet,38.01205165,11.42861937,87.12686567,18.97006427,0.038386032,0
FR0004196,Fleur Cohen Aubart,37.94501429,10.40002685,77.6119403,29.34463457,0,0
FR0003505,Philippe Gaudin,37.8380503,27.10752399,54.47761194,22.1073135,0,13.33333333
FR0002112,Mickael Bobot,37.79990151,13.79454997,94.21641791,8.896828037,0,0
FR0003511,Gaetan Gavazzi,37.79837945,13.47405866,64.36567164,14.10147003,24.96188815,0
FR0001621,Aleth Perdriger,37.79680541,14.57983757,29.6641791,19.62817787,13.02602573,40
FR0001762,Eric Rondeau,37.67250461,9.381502114,71.26865672,33.26872731,2.594895755,0
FR0001995,Cecile Vigneau,37.29527797,24.5117122,57.2761194,32.25961979,1.299641365,0
FR0001337,Antoine Lanot,37.28581318,3.074031814,95.89552239,3.63481204,12.71345376,0
FR0004467,Emilie Sbidian,37.17028704,1.496744748,88.80597015,24.65780503,0,0
FR0001771,Pascal Richette,37.08015341,21.35881603,54.10447761,0,39.21846039,0
FR0002371,Vincent Sobanski,37.06491166,11.19202631,93.84328358,9.543370409,0.055933932,0
FR0001793,Philippe Saiag,37.05111943,53.76199745,0,15.94659878,31.55002797,13.33333333
FR0003298,Arsene Mekinian,37.01988107,51.3121686,0,60.37770417,2.805470558,0
FR0003230,Marc Michel,36.97313966,22.30518827,91.97761194,0.067980965,0,0
FR0003114,Pascal Claudepierre,36.6102973,25.53862675,57.64925373,26.5771825,3.463516819,0
FR0002032,Julien Zuber,36.2576998,0,96.64179104,12.43087397,3.065398831,0
FR0002820,Pierre Andre Becherel,36.15393352,2.758574401,71.45522388,6.419620946,31.18371555,0
FR0004207,Vincent Audard,36.10508903,8.983824418,70.14925373,32.53299005,0,0
FR0002851,Didier Bessis,35.65197223,17.49446272,65.85820896,24.72289319,2.18910056,0
FR0002974,Olivier Brocq,35.56170052,18.12873347,77.79850746,10.61226261,3.445968918,0
FR0003174,Catherine Droitcourt,35.28620711,41.54641251,34.8880597,18.79553158,13.90342074,0
FR0000911,Vincent Goeb,35.17176377,16.70917511,68.84328358,18.08438318,5.142631527,0
FR0003567,Philippe Goupille,35.10017508,26.24840593,50.74626866,24.21520556,7.348183244,0
FR0006713,Anais Roeser,35.07690621,0,86.19402985,2.292067441,0,20
FR0002950,Isabelle Boccon Gibod,35.0094265,4.963420364,76.11940299,8.627796983,18.56677524,0
FR0004110,Laurent Mortier,34.95457044,75.51513524,0,29.36488422,3.227716908,0
FR0004409,Mireille Ruer Mulard,34.84423996,2.758574401,0,5.007931113,100,0
FR0002409,Sebastien Rubin,34.81423456,1.654473455,97.01492537,5.332407635,3.671898134,0
FR0002424,Jerome Hadjadj,34.67485687,1.891066515,96.45522388,8.896345903,0,0
FR0004545,Thomas Stehle,34.65637682,8.515672193,90.29850746,8.371301426,0,0
FR0003525,Nicolas Schleinitz,34.63396618,30.58594537,28.54477612,34.63895358,0.013160925,13.33333333
FR0001685,Thierry Passeron,34.29786853,37.99248272,10.44776119,10.83838369,46.79805657,0
FR0000243,Florian Bailly,34.11476087,1.654473455,97.3880597,6.467834396,0,0
FR0000976,Laurent Grange,34.1132241,3.545539969,93.28358209,8.676492568,0,0
FR0003634,Pierre Hausfater,34.08324662,19.53822404,73.69402985,12.18064616,0,0
FR0004203,Alexandra Audemard Verger,34.02739386,7.564266058,78.35820896,19.31768325,0,0
FR0002043,Olivier Hinschberger,33.96756219,10.40673871,85.07462687,9.573744883,0,0
FR0002343,Hannah Kaminski,33.95569208,1.575609101,91.79104478,11.6517446,0,0
FR0000561,Francis Berenbaum,33.58012579,18.83347876,0,40.25582057,4.767545158,40
FR0001500,Tristan Mirault,33.44971839,7.248808645,80.2238806,15.98083033,0,0
FR0002347,Marie Kostine,33.44872358,0,89.17910448,13.80302877,0.468309589,0
FR0003141,Maria Antonietta D Agostino,33.44461396,20.02651185,49.44029851,17.85536929,16.11555292,0
FR0000847,Thierry Lobbedez,33.42768017,5.517148802,76.30597015,20.19131097,1.37092971,0
FR0004323,Philippe Ravaud,33.26829246,13.07805893,61.75373134,14.72728062,0,13.33333333
FR0003011,Diego Cantarovich,33.1958245,14.97248137,59.70149254,16.6133908,11.38091008,0
FR0004179,Paul Ornetti,33.18357995,7.878045506,70.52238806,13.04318479,11.18678643,0
FR0000196,Adrien Flahault,33.08126694,0,88.43283582,13.88113456,0,0
FR0004158,Julien Nizard,33.03906861,17.65554735,80.78358209,3.516206951,0.228122704,0
FR0001715,Francois Raffi,32.97556695,68.33680113,0,26.77148271,6.878776911,0
FR0004067,Valentin Goutaudier,32.86938659,0,94.96268657,3.853218971,2.842759846,0
FR0005646,David Blanchard,32.86418681,5.201691389,95.14925373,1.291638341,0,0
FR0003275,Pierre Miossec,32.83835266,1.812202161,84.8880597,14.84926065,0.013160925,0
FR0000623,Emmanuelle Bourrat,32.72010744,20.72622324,61.00746269,19.46328787,0,0
FR0004992,Aghiles Hamroun,32.62764035,0,94.7761194,5.774042842,0.3608287,0
FR0004580,Nathalie Nahid Tabibzadeh,32.53171054,1.575609101,94.58955224,4.44913722,0,0
FR0003477,Jonathan Chemouny,32.52626621,1.496744748,87.5,9.999469652,1.601245901,0
FR0000573,Corinne Isnard Bagnis,32.50771347,3.151218203,84.70149254,12.68736952,0,0
FR0000151,Augustin Latourte,32.49478707,2.364252634,89.73880597,6.232070623,2.164972198,0
FR0004871,Cecile Pouderoux,32.42682087,0,98.69402985,1.595865214,0,0
FR0001674,Jacques Pouchot,32.38818852,12.77099134,0,33.18869298,0.877395014,53.33333333
FR0001057,Eric Gibert,32.36488674,0,99.44029851,0,0.658046261,0
FR0001194,Olivier Caubet,32.35619683,2.443116988,95.52238806,2.105963522,0,0
FR0002096,Jean Guillaume Letarouilly,32.32665034,1.575609101,90.85820896,6.094180154,1.452088749,0
FR0003682,Pascal Hilliquin,32.32604324,4.965098329,82.64925373,12.36385727,0,0
FR0005220,Camille Wagner,32.3088136,0,99.25373134,0.067980965,0.603209072,0
FR0003613,Anne Jouan,32.19625496,0,98.88059701,0.696202226,0,0
FR0001754,Yves Rolland,32.16989496,22.29512048,53.73134328,23.42932631,0.039482776,0
FR0003290,Nicolas Meyer,32.06622702,65.58326062,27.6119403,0,5.979447022,0
FR0001150,Isabelle Quere,31.94674677,74.49493255,0,24.31018606,0,0
FR0002307,Dominique Eladari,31.89204071,3.151218203,86.75373134,8.730973767,0,0
FR0002625,Thomas Funck Brentano,31.85376548,1.891066515,91.41791045,5.180053131,0.028515338,0
FR0000750,Joel Constans,31.84875748,37.52097456,45.3358209,10.663851,4.981410193,0
FR0003026,Thierry Cardon,31.73532717,0,95.3358209,2.749613087,0.065804626,0
FR0001589,Nicolas Noel,31.54977113,8.277401168,71.82835821,17.47159022,0,0
FR0001827,Aude Servais,31.43504198,6.225250017,69.96268657,20.57942925,0.455148664,0
FR0002311,Lamia Slitine,31.42824493,0,97.20149254,0,0,0
FR0004554,Delphine Staumont Salle,31.37191233,19.70098664,0,22.27654271,1.716403997,53.33333333
FR0006493,Idris Boudhabhay,31.28206673,0,91.04477612,5.704615474,0,0
FR0000895,Bruno Fautrel,31.18886686,46.96791731,0,46.39821417,3.095010913,0
FR0000949,Geraldine Falgarone,31.06352233,0,84.32835821,8.405532976,3.339584773,0
FR0002008,Michele Levy Soussan,31.04440613,0,84.14179104,11.87256221,0,0
FR0005959,Yuan Tian,30.9757635,0,0,95.80205486,0,0
FR0003487,Karine Louati,30.93073296,1.654473455,89.36567164,2.258318026,2.384320951,0
FR0006398,Valentin Maisons,30.8642293,0,92.7238806,2.733220514,0,0
FR0001623,Aldjia Hocine,30.78268433,0,94.40298507,0.713076934,0.088836245,0
FR0003366,Christophe Mariat,30.77573953,46.97127324,10.44776119,27.58002227,10.18436263,0
FR0004421,Alain Saraux,30.68420664,42.24109001,0,51.70506868,0.954167078,0
FR0000032,Charlotte Loheac,30.63488335,4.018726089,87.68656716,2.801201479,0.241283629,0
FR0001998,Philippe Zaoui,30.62448458,77.83072689,8.955223881,7.929666218,0,0
FR0001770,Corinne Miceli Richard,30.5198428,3.308946909,72.20149254,0,18.88154071,0
FR0002606,Aline Frazier Mironer,30.47220615,0,79.29104478,0.797932607,14.15567181,0
FR0004983,Nizar Joher,30.39922473,7.567621988,83.20895522,3.242354552,0,0
FR0004300,Philippe Remy,30.3396754,39.80636284,33.02238806,19.32250459,1.683501684,0
FR0005176,Christophe Masset,30.30822331,2.600845694,83.76865672,7.367979519,0,0
FR0000253,Aurelien Dinh,30.29890932,27.18974428,58.20895522,0.203942896,8.106033187,0
FR0001746,Alexis Regent,30.23636831,1.733337808,49.62686567,22.15504481,0,20
FR0004387,Etienne Riviere,30.22354709,3.860997382,75.55970149,13.9375443,0.117351583,0
FR0001767,Yves Roquelaure,30.13762118,0,78.73134328,14.47849921,0,0
FR0003854,Emilie Le Gall Cornec,30.12312089,0,93.09701493,0.067980965,0,0
FR0004476,David Saadoun,30.11256128,22.29847641,0,50.28614683,7.214380504,13.33333333
FR0006804,Alexandre Gerard,30.1082164,2.443116988,87.87313433,2.802647883,0,0
FR0001122,Jean Jacques Grob,29.94211307,57.54916437,34.51492537,0.152836638,0.388247294,0
